Domain No,S11,S12,S13,S14,S15,S16,S21,S22,S23,S24,S25,S26,S31,S32,S33,S34,S35,S36,S41,S42,S43,S44,S45,S46,S51,S52,S53,S54,S55,S56,S61,S62,S63,S64,S65,S66,eff_s_d,testeuclid_alpha, euclid_phi, euclid_e
       8.000,       83.595,        9.675,        1.125,      -13.930,        0.040,       -0.357,        0.000,       32.196,        0.878,       -9.205,        0.378,       -0.769,        0.000,        0.000,        4.239,        0.281,        0.010,        0.000,        0.000,        0.000,        0.000,       23.881,       -0.627,        0.367,        0.000,        0.000,        0.000,        0.000,        1.605,       -0.203,        0.000,        0.000,        0.000,        0.000,        0.000,        1.443,,        1.025,        7.575,      -82.625
       9.000,      229.768,       32.467,        6.606,      -18.132,       -0.052,       -0.328,        0.000,      108.898,        6.096,      -14.689,        1.151,        0.457,        0.000,        0.000,       15.691,       -1.671,        0.635,        3.236,        0.000,        0.000,        0.000,       68.688,       -1.992,        1.384,        0.000,        0.000,        0.000,        0.000,        9.164,       -0.183,        0.000,        0.000,        0.000,        0.000,        0.000,       11.412,,        0.975,      -16.700,       73.400
      10.000,      325.254,       51.391,        8.605,      -11.293,        0.094,       -0.743,        0.000,      183.811,        8.195,      -11.604,        0.623,        0.353,        0.000,        0.000,       17.776,       -4.131,        1.269,        0.839,        0.000,        0.000,        0.000,       99.145,       -3.770,        1.574,        0.000,        0.000,        0.000,        0.000,       12.461,       -0.393,        0.000,        0.000,        0.000,        0.000,        0.000,       14.422,,        1.850,       -9.850,       85.825
      11.000,      378.783,      104.171,       11.529,       -0.467,       -0.008,      107.598,        0.000,      217.630,        9.692,       -1.537,        0.762,      -42.923,        0.000,        0.000,       28.780,        1.709,       -0.564,        1.038,        0.000,        0.000,        0.000,      115.437,      -32.622,       -0.320,        0.000,        0.000,        0.000,        0.000,       28.691,       -0.175,        0.000,        0.000,        0.000,        0.000,        0.000,       79.891,,      -90.900,       82.025,       82.700
      12.000,      432.046,       74.783,       12.865,       -7.252,        0.444,       -0.976,        0.000,      251.783,       10.978,      -10.288,        0.349,        0.536,        0.000,        0.000,       31.320,       -2.531,        0.859,        0.888,        0.000,        0.000,        0.000,      131.628,       -5.117,        2.812,        0.000,        0.000,        0.000,        0.000,       20.143,       -0.688,        0.000,        0.000,        0.000,        0.000,        0.000,       19.289,,        1.025,      -31.225,       84.125
      13.000,      430.943,       67.295,       11.149,       12.400,        0.086,       -1.069,        0.000,      223.150,       11.025,        9.819,       -1.441,        0.078,        0.000,        0.000,       27.451,       -2.580,       -1.030,        3.481,        0.000,        0.000,        0.000,      128.396,       -4.768,       -1.659,        0.000,        0.000,        0.000,        0.000,       17.839,       -0.397,        0.000,        0.000,        0.000,        0.000,        0.000,       21.357,,        1.000,        6.575,       76.700
      14.000,      352.937,       48.256,       10.571,       20.860,        0.715,       -1.938,        0.000,      154.105,        9.033,       12.608,       -1.720,       -2.647,        0.000,        0.000,       28.678,       -1.493,       -0.318,        3.220,        0.000,        0.000,        0.000,      100.418,       -4.807,        1.762,        0.000,        0.000,        0.000,        0.000,       15.027,       -0.628,        0.000,        0.000,        0.000,        0.000,        0.000,       16.918,,        1.000,      -42.350,       72.100
      15.000,      225.654,       20.642,        9.786,       33.452,        0.093,       -0.606,        0.000,       67.675,        6.042,       19.403,       -0.566,       -1.501,        0.000,        0.000,       19.192,        5.113,       -0.033,       -0.125,        0.000,        0.000,        0.000,       62.299,       -1.543,       -0.210,        0.000,        0.000,        0.000,        0.000,        9.798,        0.699,        0.000,        0.000,        0.000,        0.000,        0.000,        8.566,,        3.750,        4.275,      -88.950
      16.000,       51.752,        4.819,        3.347,       14.099,       -0.000,        0.005,        0.000,       13.811,        1.385,        7.044,        0.097,        0.153,        0.000,        0.000,        9.853,        0.776,        0.180,        0.167,        0.000,        0.000,        0.000,       12.380,        0.108,        0.141,        0.000,        0.000,        0.000,        0.000,        6.113,        1.205,        0.000,        0.000,        0.000,        0.000,        0.000,        2.745,,        1.000,        6.825,      -81.150
      30.000,      125.196,       19.149,        2.224,       -3.060,        0.241,        0.042,        0.000,       64.812,        2.076,       -0.621,        0.878,        0.152,        0.000,        0.000,        5.926,        1.112,        0.857,        0.433,        0.000,        0.000,        0.000,       31.139,       -0.372,        2.107,        0.000,        0.000,        0.000,        0.000,        4.189,       -0.027,        0.000,        0.000,        0.000,        0.000,        0.000,        3.481,,        1.975,       31.725,      -90.175
      31.000,      290.001,       88.782,        7.813,        0.055,        0.017,      -17.056,        0.000,      279.251,        8.473,       -0.016,        0.374,       29.939,        0.000,        0.000,       16.907,       -0.386,        1.371,        0.031,        0.000,        0.000,        0.000,       99.427,       10.442,        0.645,        0.000,        0.000,        0.000,        0.000,       14.630,       -0.040,        0.000,        0.000,        0.000,        0.000,        0.000,       20.777,,      -89.925,       87.825,      -87.825
      32.000,      326.560,      147.736,       10.120,        0.254,        0.227,      -71.334,        0.000,      305.271,        9.353,       -0.102,        0.026,       86.750,        0.000,        0.000,       22.289,       -0.488,        0.269,        0.724,        0.000,        0.000,        0.000,      112.014,       34.381,        0.449,        0.000,        0.000,        0.000,        0.000,       29.862,        0.209,        0.000,        0.000,        0.000,        0.000,        0.000,       97.339,,      -91.125,       81.475,      -81.450
      33.000,      366.353,      137.417,       10.824,       -0.332,        0.533,       61.961,        0.000,      358.019,       10.821,        0.838,        0.575,      -74.223,        0.000,        0.000,       24.931,        0.592,        1.703,        0.120,        0.000,        0.000,        0.000,      128.091,      -26.254,        2.455,        0.000,        0.000,        0.000,        0.000,       27.922,       -0.807,        0.000,        0.000,        0.000,        0.000,        0.000,       64.771,,      -91.200,       84.025,       84.075
      34.000,      406.034,      158.597,       14.663,        0.485,       -0.017,      -70.768,        0.000,      400.218,       14.525,        0.288,        0.196,       83.933,        0.000,        0.000,       33.280,       -1.022,        0.092,        0.759,        0.000,        0.000,        0.000,      142.041,       29.485,       -0.423,        0.000,        0.000,        0.000,        0.000,       35.648,        0.090,        0.000,        0.000,        0.000,        0.000,        0.000,       83.565,,      -90.750,       83.725,      -83.450
      35.000,      411.880,      180.159,       16.520,        1.227,        0.688,      -84.603,        0.000,      405.703,       16.213,       -0.162,        0.028,       98.474,        0.000,        0.000,       36.884,       -1.449,       -0.011,        0.926,        0.000,        0.000,        0.000,      145.489,       36.462,        0.429,        0.000,        0.000,        0.000,        0.000,       43.147,        0.509,        0.000,        0.000,        0.000,        0.000,        0.000,      116.161,,      -90.875,       82.125,      -81.825
      36.000,      436.839,      170.434,       16.524,        0.823,        0.221,      -75.915,        0.000,      431.930,       18.259,        0.635,       -0.268,       87.271,        0.000,        0.000,       38.972,       -1.444,       -1.116,       -1.540,        0.000,        0.000,        0.000,      153.164,       31.109,       -1.097,        0.000,        0.000,        0.000,        0.000,       39.384,        0.089,        0.000,        0.000,        0.000,        0.000,        0.000,       87.698,,      -90.800,       83.925,      -83.475
      37.000,      449.836,      229.808,       21.675,        1.262,        1.583,     -110.481,        0.000,      433.184,       23.070,       -1.423,       -0.468,      115.808,        0.000,        0.000,       51.736,       -1.772,        0.570,       -0.956,        0.000,        0.000,        0.000,      159.444,       49.717,        3.389,        0.000,        0.000,        0.000,        0.000,       58.264,        1.539,        0.000,        0.000,        0.000,        0.000,        0.000,      183.077,,      -91.225,       79.750,      -79.575
      38.000,      581.373,      215.555,       32.051,        0.452,        1.080,       90.879,        0.000,      548.308,       35.595,        1.215,       -0.489,     -105.842,        0.000,        0.000,       72.030,       -0.504,        0.264,        1.619,        0.000,        0.000,        0.000,      198.850,      -38.222,        3.924,        0.000,        0.000,        0.000,        0.000,       63.259,       -1.889,        0.000,        0.000,        0.000,        0.000,        0.000,      125.798,,      -91.150,       84.000,       84.100
      39.000,      607.506,      291.331,       25.844,       -0.941,        1.950,     -143.316,        0.000,      560.770,       27.553,       -4.544,       -1.435,      158.499,        0.000,        0.000,       58.769,        3.523,        2.060,        0.105,        0.000,        0.000,        0.000,      209.663,       68.414,        7.275,        0.000,        0.000,        0.000,        0.000,       68.478,        3.376,        0.000,        0.000,        0.000,        0.000,        0.000,      225.265,,      -90.925,       79.850,      -80.775
      40.000,      319.816,       44.389,       14.560,       60.845,       -0.183,       -0.689,        0.000,      153.273,       11.826,       51.724,       -2.024,       -0.773,        0.000,        0.000,       39.217,        4.071,       -1.255,        1.811,        0.000,        0.000,        0.000,      108.019,       -0.447,       -1.476,        0.000,        0.000,        0.000,        0.000,       17.908,        1.566,        0.000,        0.000,        0.000,        0.000,        0.000,       18.429,,        1.025,        0.200,      -75.100
      41.000,       33.023,        5.710,        1.985,       11.719,       -0.001,        0.082,        0.000,       17.220,        1.370,        8.089,        0.095,        0.160,        0.000,        0.000,        8.061,        0.622,       -0.074,        0.163,        0.000,        0.000,        0.000,       11.675,        0.126,        0.033,        0.000,        0.000,        0.000,        0.000,        4.194,        1.118,        0.000,        0.000,        0.000,        0.000,        0.000,        3.152,,       -1.100,        9.375,      -77.825
